
 Episode : 92 | Reward -> 2956.2660544872765 | Max reward : 2968.093478591712 | Time : 3.880643606185913'
 Episode : 94 | Reward -> 2970.9584318632496 | Max reward : 2972.145043507905 | Time : 4.034237623214722'
 Episode : 96 | Reward -> 2966.854786473798 | Max reward : 2974.3675748108312 | Time : 3.826357126235962'
 Episode : 98 | Reward -> 2965.607850222148 | Max reward : 2969.726422955512 | Time : 3.863898515701294'
 Episode : 100 | Reward -> 2967.188393905868 | Max reward : 2971.426759804745 | Time : 3.951221227645874'

 Reset (-2000,2000) speed_inc=50 bins=25
 Episode : 2 | Reward -> 761.3475319694953 | Max reward : 1141.8455587606143 | Time : 4.445053577423096'
 Episode : 4 | Reward -> 1069.9945593244454 | Max reward : 1079.7534124203976 | Time : 2.5104284286499023'
 Episode : 6 | Reward -> 408.40161385569013 | Max reward : 417.31998374052637 | Time : 4.414712429046631'
 Episode : 8 | Reward -> 677.0308199713966 | Max reward : 940.3708417214027 | Time : 4.429819822311401'
 Episode : 10 | Reward -> 419.64446135693044 | Max reward : 425.38741431964206 | Time : 4.433842897415161'
 Episode : 12 | Reward -> 1366.393558430125 | Max reward : 1513.8871442222187 | Time : 2.4885191917419434'
 Episode : 14 | Reward -> 415.7256397427831 | Max reward : 419.8122649835401 | Time : 4.432342767715454'
 Episode : 16 | Reward -> 933.8285736625687 | Max reward : 1055.1111683756628 | Time : 2.496392250061035'
 Episode : 18 | Reward -> 654.4767128507203 | Max reward : 898.8517298043398 | Time : 4.433833599090576'
 Episode : 20 | Reward -> 1993.6443254495011 | Max reward : 2996.68931113108 | Time : 2.506319046020508'
 Episode : 22 | Reward -> 1024.8371653890806 | Max reward : 1633.7956691213976 | Time : 4.423101186752319'
 Episode : 24 | Reward -> 2197.879676342706 | Max reward : 2997.63843481453 | Time : 3.8981356620788574'
 Episode : 26 | Reward -> 683.2198561926987 | Max reward : 961.7657561496866 | Time : 2.5022706985473633'
 Episode : 28 | Reward -> 664.7187677483362 | Max reward : 918.297521712765 | Time : 4.408651828765869'
 Episode : 30 | Reward -> 945.2657051799512 | Max reward : 1474.2399817815947 | Time : 4.421407222747803'
 Episode : 32 | Reward -> 693.6666221414719 | Max reward : 965.173675016464 | Time : 4.447646856307983'
 Episode : 34 | Reward -> 658.9184408516287 | Max reward : 899.2907608070784 | Time : 4.432786226272583'
 Episode : 36 | Reward -> 1066.8215367270643 | Max reward : 1238.7783534528087 | Time : 2.514277935028076'
 Episode : 38 | Reward -> 803.8830509905777 | Max reward : 1197.971553119456 | Time : 2.4986789226531982'
 Episode : 40 | Reward -> 1612.8546721326682 | Max reward : 2809.805727248108 | Time : 4.464069843292236'
 Episode : 42 | Reward -> 656.1516108619376 | Max reward : 899.6126844731193 | Time : 4.41352391242981'
 Episode : 44 | Reward -> 415.8331969854312 | Max reward : 417.658667835501 | Time : 4.433489561080933'
 Episode : 46 | Reward -> 1030.8523225824647 | Max reward : 1089.679629062731 | Time : 2.4821524620056152'
 Episode : 48 | Reward -> 765.1572314773908 | Max reward : 1111.016682418194 | Time : 2.4870007038116455'
 Episode : 50 | Reward -> 832.1137013608031 | Max reward : 886.7683489734303 | Time : 4.428353786468506'
 Episode : 52 | Reward -> 1985.8989952185175 | Max reward : 2802.2462395124 | Time : 3.8400821685791016'
 Episode : 54 | Reward -> 768.0770978519196 | Max reward : 1120.0112026039765 | Time : 4.512122869491577'
 Episode : 56 | Reward -> 417.58339792693675 | Max reward : 423.46391771705083 | Time : 4.410343647003174'
 Episode : 58 | Reward -> 1068.7606267058156 | Max reward : 1706.3025361952227 | Time : 4.417950630187988'
 Episode : 60 | Reward -> 1022.08065011732 | Max reward : 1127.884007037923 | Time : 2.482802152633667'
 Episode : 62 | Reward -> 1031.8155656152146 | Max reward : 1195.2048554210864 | Time : 2.487468719482422'
 Episode : 64 | Reward -> 747.1383950808233 | Max reward : 1079.462556895914 | Time : 2.5036816596984863'
 Episode : 66 | Reward -> 813.8803999334584 | Max reward : 1161.6628896913796 | Time : 2.4862828254699707'
 Episode : 68 | Reward -> 817.0034529183616 | Max reward : 1214.633677803779 | Time : 4.408488750457764'
 Episode : 70 | Reward -> 1127.9051908162814 | Max reward : 1230.8637713730327 | Time : 2.5091981887817383'
 Episode : 72 | Reward -> 709.2070370340743 | Max reward : 979.6300656606832 | Time : 4.4240453243255615'
 Episode : 74 | Reward -> 1132.2651574737918 | Max reward : 1351.316775237221 | Time : 2.50510573387146'
 Episode : 76 | Reward -> 455.9081533704516 | Max reward : 470.30606691463646 | Time : 4.414158821105957'
 Episode : 78 | Reward -> 2189.1715101115333 | Max reward : 2780.060002152569 | Time : 3.707894802093506'
 Episode : 80 | Reward -> 997.8278832967433 | Max reward : 1094.6687848248248 | Time : 2.5108253955841064'
 Episode : 82 | Reward -> 2016.1721843536648 | Max reward : 2056.8797386251563 | Time : 3.6044373512268066'
 Episode : 84 | Reward -> 1834.5319754610873 | Max reward : 1934.7963935268278 | Time : 3.5705318450927734'
 Episode : 86 | Reward -> 2071.6711168903876 | Max reward : 2087.052979803096 | Time : 3.428858757019043'
 Episode : 88 | Reward -> 2379.789406140211 | Max reward : 2426.1177633451985 | Time : 3.6487979888916016'
 Episode : 90 | Reward -> 434.6326941123496 | Max reward : 455.04291101962195 | Time : 4.404069662094116'
 Episode : 92 | Reward -> 1436.4050214756871 | Max reward : 2368.671553075104 | Time : 3.660731315612793'
 Episode : 94 | Reward -> 2751.1196395466304 | Max reward : 2779.614355813047 | Time : 3.4472146034240723'
 Episode : 96 | Reward -> 447.90293194060973 | Max reward : 459.47481528341405 | Time : 4.415281057357788'
 Episode : 98 | Reward -> 2731.097148270146 | Max reward : 2743.3152870764525 | Time : 3.725294351577759'
 Episode : 100 | Reward -> 1594.6012151287564 | Max reward : 2772.2937059342826 | Time : 3.5721237659454346'

  Reset (-2000,2000) speed_inc=50 bins=30 episodes=300 (affects epsilon)
 Episode : 2 | Reward -> 2693.1212523583727 | Max reward : 2874.2085824672968 | Time : 4.448642015457153'
 Episode : 4 | Reward -> 1123.5118960440448 | Max reward : 1884.751494561414 | Time : 4.384438753128052'
 Episode : 6 | Reward -> 2873.775665343297 | Max reward : 2981.162530499904 | Time : 3.6289358139038086'
 Episode : 8 | Reward -> 2697.880666396361 | Max reward : 2797.8631402989367 | Time : 3.814610719680786'
 Episode : 10 | Reward -> 2895.1355036808145 | Max reward : 2966.733234800654 | Time : 3.756734848022461'
 Episode : 12 | Reward -> 2943.4871566834995 | Max reward : 2982.556558304358 | Time : 3.9408860206604004'
 Episode : 14 | Reward -> 1662.1666378551931 | Max reward : 2965.557285663384 | Time : 3.8841521739959717'
 Episode : 16 | Reward -> 2949.1259855204344 | Max reward : 2981.472724030745 | Time : 3.9545671939849854'
 Episode : 18 | Reward -> 1669.2507487346807 | Max reward : 2983.420765474313 | Time : 3.824252128601074'
 Episode : 20 | Reward -> 2981.24952721694 | Max reward : 2988.1601251767593 | Time : 3.886570692062378'
 Episode : 2 | Reward -> 2245.9926999343966 | Max reward : 2345.878212775932 | Time : 3.567925453186035'
 Episode : 2 | Reward -> 1975.7334246971895 | Max reward : 2690.9917873582103 | Time : 4.216541290283203'
 Episode : 4 | Reward -> 2430.4705349632522 | Max reward : 2560.454897309486 | Time : 4.227202653884888'
 Episode : 6 | Reward -> 1581.8057054504932 | Max reward : 2750.3622006088212 | Time : 2.4775803089141846'
 Episode : 8 | Reward -> 2706.426896215892 | Max reward : 2719.4662341392764 | Time : 4.183500051498413'
 Episode : 10 | Reward -> 2637.6573372152566 | Max reward : 2692.1609629171685 | Time : 4.168261528015137'
 Episode : 12 | Reward -> 1520.6347470393719 | Max reward : 2630.187834544436 | Time : 2.4543724060058594'
